slot_number,sim_time,VM_type,NodeID,cost/node
418,330559,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n18,n31,n36,n1,n4,n34,n6,n33,n16,n15,n23,n24,n26,n35,n32,n28,n9,n30,n19,n7,n25,n5,n22,n10,n14,n29,n21,n11,n13,n17,n37,n12,n8,n2,",1.07917
419,330848,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n36,n1,n4,n34,n6,n33,n24,n26,n35,n32,n28,n25,n7,n9,n30,n31,n18,n19,n2,n8,n5,n22,n10,n14,n29,n21,n11,n13,n17,n15,n23,n16,n37,n12,",1.9598
420,331560,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n3,n20,n36,n1,n4,n34,n6,n33,n24,n15,n16,n23,n26,n35,n32,n28,n9,n30,n31,n18,n19,n7,n25,n2,n8,n22,n10,n5,n14,n29,n21,n11,n13,n17,n37,n12,",4.82514
421,332084,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n19,n1,n17,n33,n6,n28,n32,n24,n27,n21,n29,n2,n8,n35,n12,n37,n4,n34,n36,n14,n22,n10,n5,n30,n9,n11,n13,n15,n23,n16,n31,n18,n20,n25,n7,",3.46324
422,332897,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n17,n33,n6,n1,n28,n32,n19,n24,n27,n2,n8,n35,n12,n37,n4,n34,n36,n18,n31,n14,n22,n10,n5,n30,n9,n11,n13,n15,n23,n16,n29,n21,n25,n7,",5.35932
423,333358,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n17,n12,n1,n6,n28,n32,n19,n33,n24,n27,n2,n8,n4,n34,n36,n18,n31,n14,n22,n10,n5,n30,n9,n11,n13,n15,n23,n16,n35,n29,n21,n25,n7,",2.98055
424,334552,"Standard_NV24X,In-house server 2,In-house server 3,","n26,n3,n20,n12,n1,n6,n15,n16,n23,n28,n32,n17,n33,n24,n27,n7,n25,n2,n8,n36,n18,n31,n34,n4,n19,n13,n11,n30,n9,n22,n10,n5,n14,n29,n21,n35,",7.71152
425,334575,"Standard_NV24X,In-house server 2,In-house server 3,","n17,n27,n3,n29,n21,n1,n6,n33,n31,n18,n19,n24,n26,n35,n12,n37,n32,n28,n25,n7,n4,n34,n36,n30,n9,n11,n13,n15,n23,n16,n14,n22,n5,n10,n2,n8,n20,",0.151031
426,334844,"Standard_NV24X,In-house server 2,In-house server 3,","n17,n27,n3,n29,n21,n1,n6,n31,n18,n19,n33,n24,n26,n35,n12,n37,n32,n28,n25,n7,n4,n34,n36,n30,n9,n11,n13,n15,n23,n16,n14,n22,n5,n10,n2,n8,n20,",1.76396
427,335003,"Standard_NV24X,In-house server 2,In-house server 3,","n27,n17,n21,n29,n3,n20,n1,n6,n31,n18,n19,n33,n24,n26,n35,n12,n37,n32,n28,n25,n7,n36,n14,n22,n5,n10,n2,n8,n30,n9,n11,n13,n15,n23,n16,n34,n4,",1.04524
